objective,pooling,embed_dim,keep_frac,feat_dropout,seed,epochs,status,representation_label,final_loss,elapsed_s,macro_f1_learned,macro_f1_hashed,size_confound_learned,size_confound_hashed,temporal_heldout_mean,temporal_control_mean,temporal_p,temporal_win,cfg,temporal_delta
simclr,attention,128,0.7,0.1,42,30,ok,learned_simclr_attention_d128_pre_2022-09-16,0.8862554366524155,114.11107563972473,0.6179707249586933,0.7841851485440968,-0.22889727315935432,0.534209268874415,0.49885799217338955,0.4996333002152674,0.3995039923203038,False,simclr/attention,-0.0007753080418778646
simclr,attention,256,0.7,0.1,42,30,ok,learned_simclr_attention_d256_pre_2022-09-16,1.0835368278864268,77.65844225883484,0.6240192894553643,0.7841851485440968,-0.18340019228005203,0.534209268874415,0.5165656983744733,0.4987904454379864,0.12670267261049228,False,simclr/attention,0.017775252936486907
simclr,mean,128,0.7,0.1,42,30,ok,learned_simclr_mean_d128_pre_2022-09-16,0.8682984677520958,92.05379891395569,0.6109237637085033,0.7841851485440968,-0.2099263478650069,0.534209268874415,0.5299123269114991,0.5024207650273224,0.1838240701346735,False,simclr/mean,0.027491561884176785
simclr,mean,256,0.7,0.1,42,30,ok,learned_simclr_mean_d256_pre_2022-09-16,1.1798106673601512,88.34990429878235,0.603672426653886,0.7841851485440968,-0.12082452775942026,0.534209268874415,0.5003198374473209,0.496991637688359,0.5585988730511231,False,simclr/mean,0.0033281997589618695
simclr,deepsets,128,0.7,0.1,42,30,ok,learned_simclr_deepsets_d128_pre_2022-09-16,1.21008731867816,92.25772070884705,0.4998850937835127,0.7841851485440968,-0.14248352906407535,0.534209268874415,0.5031212372065021,0.4978267097201523,0.3476679539940907,False,simclr/deepsets,0.005294527486349843
simclr,deepsets,256,0.7,0.1,42,30,ok,learned_simclr_deepsets_d256_pre_2022-09-16,1.5151974671595805,86.52673935890198,0.5212792777981052,0.7841851485440968,-0.10983019381546409,0.534209268874415,0.509271523178808,0.5009592647789369,0.3778188142899378,False,simclr/deepsets,0.008312258399871042
supcon,attention,128,0.7,0.1,42,30,ok,learned_supcon_attention_d128_pre_2022-09-16,3.8834646521387874,88.19851303100586,0.8784565290114222,0.7841851485440968,-0.08085378965698353,0.534209268874415,0.5019114990969296,0.5038685212783574,0.6589114395414398,False,supcon/attention,-0.001957022181427792
supcon,attention,256,0.7,0.1,42,30,ok,learned_supcon_attention_d256_pre_2022-09-16,3.9032209886086955,81.01670169830322,0.8775628811544512,0.7841851485440968,-0.09444857814816844,0.534209268874415,0.5043817730282962,0.5013363139592648,0.6085257225249227,False,supcon/attention,0.00304545906903142
supcon,mean,128,0.7,0.1,42,30,ok,learned_supcon_mean_d128_pre_2022-09-16,3.934741787008337,87.82262110710144,0.8567858850173438,0.7841851485440968,0.07900757235960697,0.534209268874415,0.518748118603251,0.4996660043053485,0.5843119492444314,False,supcon/mean,0.019082114297902464
supcon,mean,256,0.7,0.1,42,30,ok,learned_supcon_mean_d256_pre_2022-09-16,3.9754322992788778,117.73160600662231,0.8537722040983927,0.7841851485440968,0.07645967119916731,0.534209268874415,0.5184245183624323,0.49912940884252355,0.4661795526678322,False,supcon/mean,0.01929510951990876
supcon,deepsets,128,0.7,0.1,42,30,ok,learned_supcon_deepsets_d128_pre_2022-09-16,4.211818604855924,117.70925998687744,0.6622230196056548,0.7841851485440968,0.03141793988061095,0.534209268874415,0.47994619205298017,0.5026871998675277,0.7914727457862292,False,supcon/deepsets,-0.022741007814547576
supcon,deepsets,256,0.7,0.1,42,30,ok,learned_supcon_deepsets_d256_pre_2022-09-16,4.0126907116657975,110.65085315704346,0.830162557313373,0.7841851485440968,0.12257807099507669,0.534209268874415,0.5000658488862132,0.5028638019539658,0.6490260092653868,False,supcon/deepsets,-0.0027979530677526565
simclr,attention,256,0.7,0.1,7,30,ok,learned_simclr_attention_d256_pre_2022-09-16,1.3174343495755583,113.91413235664368,0.6341696236036681,0.7841851485440968,-0.11468017804316924,0.534209268874415,0.5234327965081276,0.5013135452889551,0.22424460856927225,False,simclr/attention,0.022119251219172464
