biosynth_class,n,spearman_hashed_vs_esm,spearman_pvalue,top_decile_jaccard,mean_novelty_hashed,mean_novelty_esm
other,474,-0.41668409693405023,2.479752854549743e-21,0.010752688172043012,0.3104232219633464,0.5496613263516921
NRPS,538,-0.37831730676240777,9.475748852570483e-20,0.018867924528301886,0.5705346246905046,0.5131755112405918
PKS,695,-0.3131858713665374,2.785258858533021e-17,0.037037037037037035,0.6270601886612153,0.3301991727301271
terpene,166,-0.27866862289005195,0.000277388299359063,0.030303030303030304,0.34200064013168424,0.6762625454379186
RiPP,359,-0.21845388195910626,2.9770997984302384e-05,0.058823529411764705,0.253436437923179,0.7175513893220151
hybrid,404,-0.022854750507608185,0.6469443446500462,0.02564102564102564,0.6939335299753885,0.45055235125030524
